t,lx,ly,rx,ry,px,py,pz,qx,qy,qz,qw
0.600000,-0.023824,0.012201,-0.031410,0.027022,-0.006809,-0.005941,0.006888,-0.023721,0.013254,-0.012017,-0.999559
0.609000,-0.023861,0.012127,-0.031447,0.026918,-0.006814,-0.005927,0.006872,-0.023664,0.013221,-0.012063,-0.999560
0.617000,-0.023959,0.011944,-0.031515,0.026531,-0.006830,-0.005922,0.006866,-0.023644,0.013186,-0.012145,-0.999560
0.625000,-0.024007,0.011962,-0.031542,0.026333,-0.006824,-0.005919,0.006862,-0.023630,0.013145,-0.012159,-0.999560
0.634000,-0.024120,0.011959,-0.031633,0.026189,-0.006824,-0.005916,0.006860,-0.023618,0.013088,-0.012206,-0.999561
0.642000,-0.024201,0.011957,-0.031697,0.026144,-0.006799,-0.005904,0.006847,-0.023574,0.013046,-0.012157,-0.999563
0.650000,-0.024369,0.011886,-0.031850,0.026059,-0.006799,-0.005903,0.006846,-0.023568,0.012986,-0.012210,-0.999563
0.659000,-0.024369,0.011886,-0.031850,0.026059,-0.006776,-0.005915,0.006861,-0.023617,0.012918,-0.012186,-0.999563
0.667000,-0.024628,0.012089,-0.032112,0.026183,-0.006758,-0.005928,0.006876,-0.023666,0.012850,-0.012181,-0.999563
0.676000,-0.024628,0.012089,-0.032112,0.026183,-0.006717,-0.005933,0.006884,-0.023693,0.012791,-0.012092,-0.999564
0.684000,-0.024807,0.012259,-0.032309,0.026214,-0.006677,-0.005946,0.006901,-0.023748,0.012726,-0.012012,-0.999565
0.692000,-0.024842,0.012337,-0.032373,0.026245,-0.006638,-0.005959,0.006918,-0.023803,0.012678,-0.011919,-0.999565
0.700000,-0.024813,0.012487,-0.032552,0.026346,-0.006583,-0.005968,0.006931,-0.023845,0.012627,-0.011774,-0.999567
0.709000,-0.024813,0.012487,-0.032552,0.026346,-0.006543,-0.005970,0.006936,-0.023858,0.012593,-0.011668,-0.999568
0.717000,-0.024937,0.012553,-0.032701,0.026397,-0.006508,-0.005974,0.006942,-0.023877,0.012553,-0.011582,-0.999569
0.725000,-0.024956,0.012522,-0.032746,0.026356,-0.006469,-0.005979,0.006949,-0.023900,0.012526,-0.011473,-0.999570
0.734000,-0.024960,0.012623,-0.032798,0.026467,-0.006424,-0.005987,0.006961,-0.023938,0.012508,-0.011335,-0.999571
0.742000,-0.024960,0.012623,-0.032798,0.026467,-0.006386,-0.005987,0.006963,-0.023943,0.012498,-0.011212,-0.999572
0.750000,-0.024967,0.012725,-0.032818,0.026620,-0.006365,-0.006007,0.006986,-0.024023,0.012495,-0.011142,-0.999571
0.759000,-0.024919,0.012486,-0.032800,0.026730,-0.006344,-0.005998,0.006978,-0.023993,0.012496,-0.011070,-0.999573
0.767000,-0.024887,0.012488,-0.032771,0.026800,-0.006305,-0.006004,0.006985,-0.024019,0.012507,-0.010929,-0.999574
0.775000,-0.024887,0.012488,-0.032771,0.026800,-0.006305,-0.006005,0.006987,-0.024025,0.012517,-0.010923,-0.999573
0.784000,-0.024663,0.012301,-0.032682,0.026960,-0.006320,-0.005998,0.006978,-0.023993,0.012535,-0.010958,-0.999574
0.792000,-0.024598,0.012254,-0.032645,0.027018,-0.006306,-0.006006,0.006988,-0.024028,0.012553,-0.010893,-0.999573
0.800000,-0.024456,0.012348,-0.032615,0.027209,-0.006317,-0.006015,0.006997,-0.024062,0.012576,-0.010912,-0.999572
0.809000,-0.023826,0.012091,-0.032500,0.027534,-0.006333,-0.006033,0.007017,-0.024132,0.012609,-0.010939,-0.999569
0.817000,-0.023826,0.012091,-0.032500,0.027534,-0.006355,-0.006053,0.007039,-0.024208,0.012637,-0.010989,-0.999567
0.825000,-0.023442,0.011983,-0.032413,0.027849,-0.006378,-0.006068,0.007054,-0.024265,0.012661,-0.011048,-0.999564
0.834000,-0.023442,0.011983,-0.032413,0.027849,-0.006427,-0.006084,0.007070,-0.024322,0.012692,-0.011189,-0.999561
0.842000,-0.022960,0.011723,-0.032323,0.028311,-0.006457,-0.006094,0.007080,-0.024359,0.012706,-0.011278,-0.999559
0.851000,-0.022960,0.011723,-0.032323,0.028311,-0.006492,-0.006119,0.007107,-0.024454,0.012720,-0.011385,-0.999555
0.859000,-0.022734,0.011803,-0.032279,0.028843,-0.006524,-0.006137,0.007125,-0.024518,0.012724,-0.011490,-0.999552
0.867000,-0.022734,0.011803,-0.032279,0.028843,-0.006549,-0.006146,0.007134,-0.024550,0.012727,-0.011572,-0.999551
0.876000,-0.022591,0.011686,-0.032273,0.029157,-0.006578,-0.006159,0.007148,-0.024599,0.012721,-0.011678,-0.999548
0.884000,-0.022591,0.011686,-0.032273,0.029157,-0.006605,-0.006174,0.007164,-0.024655,0.012705,-0.011781,-0.999546
0.892000,-0.022594,0.011611,-0.032321,0.029407,-0.006631,-0.006177,0.007165,-0.024661,0.012688,-0.011884,-0.999545
0.901000,-0.022530,0.011355,-0.032364,0.029560,-0.006650,-0.006190,0.007179,-0.024710,0.012663,-0.011969,-0.999543
0.909000,-0.022562,0.011465,-0.032384,0.029720,-0.006656,-0.006212,0.007203,-0.024793,0.012633,-0.012015,-0.999541
0.917000,-0.022562,0.011465,-0.032384,0.029720,-0.006650,-0.006227,0.007220,-0.024852,0.012606,-0.012018,-0.999539
0.926000,-0.022677,0.011746,-0.032518,0.029989,-0.006666,-0.006246,0.007241,-0.024925,0.012567,-0.012106,-0.999537
0.934000,-0.022775,0.011764,-0.032625,0.029999,-0.006658,-0.006243,0.007239,-0.024915,0.012529,-0.012110,-0.999538
0.942000,-0.022833,0.011761,-0.032689,0.029991,-0.006650,-0.006248,0.007245,-0.024934,0.012486,-0.012118,-0.999538
0.951000,-0.022950,0.011783,-0.032813,0.030009,-0.006639,-0.006242,0.007238,-0.024908,0.012436,-0.012125,-0.999539
0.959000,-0.023003,0.011681,-0.032869,0.029906,-0.006635,-0.006215,0.007208,-0.024803,0.012386,-0.012153,-0.999542
0.967000,-0.023125,0.011472,-0.032994,0.029696,-0.006614,-0.006204,0.007196,-0.024761,0.012352,-0.012111,-0.999544
0.976000,-0.023137,0.011410,-0.033036,0.029675,-0.006593,-0.006201,0.007195,-0.024753,0.012305,-0.012078,-0.999545
0.984000,-0.023225,0.011350,-0.033142,0.029642,-0.006589,-0.006200,0.007194,-0.024749,0.012273,-0.012092,-0.999545
0.992000,-0.023209,0.011241,-0.033188,0.029701,-0.006574,-0.006197,0.007191,-0.024738,0.012237,-0.012071,-0.999546
1.001000,-0.023311,0.011205,-0.033294,0.029667,-0.006556,-0.006196,0.007191,-0.024736,0.012203,-0.012038,-0.999547
1.009000,-0.023311,0.011205,-0.033294,0.029667,-0.006545,-0.006174,0.007166,-0.024648,0.012179,-0.012020,-0.999550
1.017000,-0.023372,0.010958,-0.033375,0.029426,-0.006522,-0.006160,0.007152,-0.024599,0.012170,-0.011951,-0.999552
1.026000,-0.023367,0.010868,-0.033383,0.029351,-0.006510,-0.006151,0.007142,-0.024565,0.012178,-0.011903,-0.999553
1.034000,-0.023291,0.010718,-0.033351,0.029241,-0.006495,-0.006143,0.007134,-0.024537,0.012194,-0.011838,-0.999554
1.042000,-0.023291,0.010718,-0.033351,0.029241,-0.006470,-0.006136,0.007127,-0.024511,0.012211,-0.011738,-0.999556
1.051000,-0.023161,0.010592,-0.033275,0.029221,-0.006445,-0.006142,0.007135,-0.024537,0.012237,-0.011631,-0.999556
1.059000,-0.023161,0.010592,-0.033275,0.029221,-0.006426,-0.006144,0.007139,-0.024551,0.012254,-0.011553,-0.999557
1.067000,-0.023007,0.010480,-0.033222,0.029312,-0.006407,-0.006161,0.007159,-0.024621,0.012266,-0.011478,-0.999556
1.075000,-0.022961,0.010347,-0.033205,0.029420,-0.006419,-0.006153,0.007149,-0.024588,0.012270,-0.011514,-0.999556
1.084000,-0.022929,0.009912,-0.033210,0.029414,-0.006436,-0.006163,0.007160,-0.024624,0.012264,-0.011578,-0.999555
1.092000,-0.022929,0.009912,-0.033210,0.029414,-0.006429,-0.006183,0.007183,-0.024703,0.012255,-0.011562,-0.999553
1.100000,-0.023010,0.010087,-0.033246,0.029808,-0.006433,-0.006221,0.007225,-0.024852,0.012247,-0.011582,-0.999549
1.109000,-0.023057,0.010423,-0.033276,0.030199,-0.006462,-0.006261,0.007268,-0.025002,0.012231,-0.011693,-0.999544
1.117000,-0.023086,0.010625,-0.033294,0.030427,-0.006491,-0.006297,0.007308,-0.025140,0.012212,-0.011806,-0.999540
1.125000,-0.023086,0.010625,-0.033294,0.030427,-0.006517,-0.006330,0.007343,-0.025264,0.012182,-0.011919,-0.999536
1.134000,-0.023252,0.010977,-0.033439,0.030799,-0.006539,-0.006352,0.007368,-0.025350,0.012127,-0.012042,-0.999533
1.142000,-0.023252,0.010977,-0.033439,0.030799,-0.006528,-0.006356,0.007372,-0.025363,0.012081,-0.012045,-0.999533
1.150000,-0.023539,0.010906,-0.033698,0.030748,-0.006494,-0.006341,0.007358,-0.025309,0.012020,-0.011980,-0.999536
1.159000,-0.023683,0.010748,-0.033836,0.030589,-0.006460,-0.006322,0.007338,-0.025237,0.011966,-0.011909,-0.999539
1.167000,-0.023683,0.010748,-0.033836,0.030589,-0.006448,-0.006294,0.007307,-0.025128,0.011937,-0.011892,-0.999542
1.175000,-0.023811,0.010171,-0.033967,0.030081,-0.006423,-0.006261,0.007271,-0.025002,0.011915,-0.011826,-0.999546
1.184000,-0.023827,0.009885,-0.033987,0.029892,-0.006419,-0.006218,0.007223,-0.024834,0.011911,-0.011816,-0.999551
1.192000,-0.023817,0.009590,-0.033987,0.029559,-0.006422,-0.006201,0.007203,-0.024767,0.011921,-0.011819,-0.999552
1.200000,-0.023799,0.009490,-0.033976,0.029444,-0.006433,-0.006176,0.007175,-0.024669,0.011945,-0.011835,-0.999554
